Country,Year,Value,Indicator,Color,Baseline
Solomon Islands,1964,13.37,Access to Electricity,red,95.0
Tonga,1964,84.08,Access to Electricity,red,95.0
Tuvalu,1964,95.42,Access to Electricity,green,95.0
Vanuatu,1964,18.48,Access to Electricity,red,95.0
Fiji,1965,77.0,Access to Electricity,red,95.0
French Polynesia,1965,100.0,Access to Electricity,green,95.0
Guam,1965,100.0,Access to Electricity,green,95.0
Kiribati,1965,69.68,Access to Electricity,red,95.0
Marshall Islands,1965,74.39,Access to Electricity,red,95.0
Micronesia (Federated States of),1965,55.37,Access to Electricity,red,95.0
Nauru,1965,99.2,Access to Electricity,green,95.0
New Caledonia,1965,100.0,Access to Electricity,green,95.0
Northern Mariana Islands,1965,100.0,Access to Electricity,green,95.0
Palau,1965,97.3,Access to Electricity,green,95.0
Papua New Guinea,1965,9.88,Access to Electricity,red,95.0
Samoa,1965,84.77,Access to Electricity,red,95.0
Solomon Islands,1965,16.31,Access to Electricity,red,95.0
Tonga,1965,84.83,Access to Electricity,red,95.0
Tuvalu,1965,95.6,Access to Electricity,green,95.0
Vanuatu,1965,19.1,Access to Electricity,red,95.0
Fiji,1966,79.63,Access to Electricity,red,95.0
French Polynesia,1966,100.0,Access to Electricity,green,95.0
Guam,1966,100.0,Access to Electricity,green,95.0
Kiribati,1966,68.8,Access to Electricity,red,95.0
Marshall Islands,1966,75.86,Access to Electricity,red,95.0
Micronesia (Federated States of),1966,57.12,Access to Electricity,red,95.0
Nauru,1966,99.24,Access to Electricity,green,95.0
New Caledonia,1966,100.0,Access to Electricity,green,95.0
Northern Mariana Islands,1966,100.0,Access to Electricity,green,95.0
Palau,1966,97.44,Access to Electricity,green,95.0
Papua New Guinea,1966,12.18,Access to Electricity,red,95.0
Samoa,1966,85.54,Access to Electricity,red,95.0
Solomon Islands,1966,19.26,Access to Electricity,red,95.0
Tonga,1966,85.58,Access to Electricity,red,95.0
Tuvalu,1966,95.79,Access to Electricity,green,95.0
Vanuatu,1966,22.14,Access to Electricity,red,95.0
Fiji,1967,80.0,Access to Electricity,red,95.0
French Polynesia,1967,100.0,Access to Electricity,green,95.0
Guam,1967,100.0,Access to Electricity,green,95.0
Kiribati,1967,67.61,Access to Electricity,red,95.0
Marshall Islands,1967,77.33,Access to Electricity,red,95.0
Micronesia (Federated States of),1967,58.88,Access to Electricity,red,95.0
Nauru,1967,99.27,Access to Electricity,green,95.0
New Caledonia,1967,100.0,Access to Electricity,green,95.0
Northern Mariana Islands,1967,100.0,Access to Electricity,green,95.0
Palau,1967,97.56,Access to Electricity,green,95.0
Papua New Guinea,1967,14.47,Access to Electricity,red,95.0
Samoa,1967,86.31,Access to Electricity,red,95.0
Solomon Islands,1967,14.4,Access to Electricity,red,95.0
Tonga,1967,86.29,Access to Electricity,red,95.0
Tuvalu,1967,96.7,Access to Electricity,green,95.0
Vanuatu,1967,23.94,Access to Electricity,red,95.0
Fiji,1968,80.79,Access to Electricity,red,95.0
French Polynesia,1968,100.0,Access to Electricity,green,95.0
Guam,1968,100.0,Access to Electricity,green,95.0
Kiribati,1968,69.4,Access to Electricity,red,95.0
Marshall Islands,1968,72.3,Access to Electricity,red,95.0
Micronesia (Federated States of),1968,60.65,Access to Electricity,red,95.0
Nauru,1968,99.3,Access to Electricity,green,95.0
New Caledonia,1968,100.0,Access to Electricity,green,95.0
Northern Mariana Islands,1968,100.0,Access to Electricity,green,95.0
Palau,1968,97.69,Access to Electricity,green,95.0
Papua New Guinea,1968,16.76,Access to Electricity,red,95.0
Samoa,1968,87.08,Access to Electricity,red,95.0
Solomon Islands,1968,12.9,Access to Electricity,red,95.0
Tonga,1968,87.0,Access to Electricity,red,95.0
Tuvalu,1968,96.19,Access to Electricity,green,95.0
Vanuatu,1968,25.74,Access to Electricity,red,95.0
Fiji,1969,82.05,Access to Electricity,red,95.0
French Polynesia,1969,100.0,Access to Electricity,green,95.0
Guam,1969,100.0,Access to Electricity,green,95.0
Kiribati,1969,64.19,Access to Electricity,red,95.0
Marshall Islands,1969,80.29,Access to Electricity,red,95.0
Micronesia (Federated States of),1969,62.43,Access to Electricity,red,95.0
Nauru,1969,99.32,Access to Electricity,green,95.0
New Caledonia,1969,100.0,Access to Electricity,green,95.0
Northern Mariana Islands,1969,100.0,Access to Electricity,green,95.0
Palau,1969,97.8,Access to Electricity,green,95.0
Papua New Guinea,1969,19.05,Access to Electricity,red,95.0
Samoa,1969,87.86,Access to Electricity,red,95.0
Solomon Islands,1969,28.1,Access to Electricity,red,95.0
Tonga,1969,87.7,Access to Electricity,red,95.0
Tuvalu,1969,96.41,Access to Electricity,green,95.0
Vanuatu,1969,27.53,Access to Electricity,red,95.0
Fiji,1970,83.31,Access to Electricity,red,95.0
French Polynesia,1970,100.0,Access to Electricity,green,95.0
Guam,1970,100.0,Access to Electricity,green,95.0
Kiribati,1970,63.17,Access to Electricity,red,95.0
Marshall Islands,1970,81.78,Access to Electricity,red,95.0
Micronesia (Federated States of),1970,64.53,Access to Electricity,red,95.0
Nauru,1970,99.44,Access to Electricity,green,95.0
New Caledonia,1970,100.0,Access to Electricity,green,95.0
Northern Mariana Islands,1970,100.0,Access to Electricity,green,95.0
Palau,1970,98.17,Access to Electricity,green,95.0
Papua New Guinea,1970,12.4,Access to Electricity,red,95.0
Samoa,1970,88.58,Access to Electricity,red,95.0
Solomon Islands,1970,21.2,Access to Electricity,red,95.0
Tonga,1970,88.4,Access to Electricity,red,95.0
Tuvalu,1970,96.63,Access to Electricity,green,95.0
Vanuatu,1970,29.31,Access to Electricity,red,95.0
Fiji,1971,88.9,Access to Electricity,red,95.0
French Polynesia,1971,100.0,Access to Electricity,green,95.0
Guam,1971,100.0,Access to Electricity,green,95.0
Kiribati,1971,74.84,Access to Electricity,red,95.0
Marshall Islands,1971,89.23,Access to Electricity,red,95.0
Micronesia (Federated States of),1971,66.59,Access to Electricity,red,95.0
Nauru,1971,99.42,Access to Electricity,green,95.0
New Caledonia,1971,100.0,Access to Electricity,green,95.0
Northern Mariana Islands,1971,100.0,Access to Electricity,green,95.0
Palau,1971,98.23,Access to Electricity,green,95.0
Papua New Guinea,1971,23.64,Access to Electricity,red,95.0
Samoa,1971,89.3,Access to Electricity,red,95.0
Solomon Islands,1971,34.77,Access to Electricity,red,95.0
Tonga,1971,89.1,Access to Electricity,red,95.0
Tuvalu,1971,96.87,Access to Electricity,green,95.0
Vanuatu,1971,31.09,Access to Electricity,red,95.0
Fiji,1972,86.16,Access to Electricity,red,95.0
French Polynesia,1972,100.0,Access to Electricity,green,95.0
Guam,1972,100.0,Access to Electricity,green,95.0
Kiribati,1972,76.69,Access to Electricity,red,95.0
Marshall Islands,1972,89.92,Access to Electricity,red,95.0
Micronesia (Federated States of),1972,68.43,Access to Electricity,red,95.0
Nauru,1972,99.39,Access to Electricity,green,95.0
New Caledonia,1972,100.0,Access to Electricity,green,95.0
Northern Mariana Islands,1972,99.99,Access to Electricity,green,95.0
Palau,1972,98.28,Access to Electricity,green,95.0
Papua New Guinea,1972,25.94,Access to Electricity,red,95.0
Samoa,1972,90.02,Access to Electricity,red,95.0
Solomon Islands,1972,38.68,Access to Electricity,red,95.0
Tonga,1972,92.3,Access to Electricity,red,95.0
Tuvalu,1972,97.67,Access to Electricity,green,95.0
Vanuatu,1972,26.44,Access to Electricity,red,95.0
Fiji,1973,87.13,Access to Electricity,red,95.0
French Polynesia,1973,100.0,Access to Electricity,green,95.0
Guam,1973,100.0,Access to Electricity,green,95.0
Kiribati,1973,78.93,Access to Electricity,red,95.0
Marshall Islands,1973,90.56,Access to Electricity,red,95.0
Micronesia (Federated States of),1973,70.25,Access to Electricity,red,95.0
Nauru,1973,99.35,Access to Electricity,green,95.0
New Caledonia,1973,100.0,Access to Electricity,green,95.0
Northern Mariana Islands,1973,99.96,Access to Electricity,green,95.0
Palau,1973,98.33,Access to Electricity,green,95.0
Papua New Guinea,1973,17.2,Access to Electricity,red,95.0
Samoa,1973,90.73,Access to Electricity,red,95.0
Solomon Islands,1973,42.57,Access to Electricity,red,95.0
Tonga,1973,90.51,Access to Electricity,red,95.0
Tuvalu,1973,97.41,Access to Electricity,green,95.0
Vanuatu,1973,33.62,Access to Electricity,red,95.0
Fiji,1974,89.25,Access to Electricity,red,95.0
French Polynesia,1974,100.0,Access to Electricity,green,95.0
Guam,1974,100.0,Access to Electricity,green,95.0
Kiribati,1974,83.45,Access to Electricity,red,95.0
Marshall Islands,1974,91.2,Access to Electricity,red,95.0
Micronesia (Federated States of),1974,72.05,Access to Electricity,red,95.0
Nauru,1974,99.32,Access to Electricity,green,95.0
New Caledonia,1974,100.0,Access to Electricity,green,95.0
Northern Mariana Islands,1974,99.92,Access to Electricity,green,95.0
Palau,1974,98.37,Access to Electricity,green,95.0
Papua New Guinea,1974,19.5,Access to Electricity,red,95.0
Samoa,1974,91.44,Access to Electricity,red,95.0
Solomon Islands,1974,44.7,Access to Electricity,red,95.0
Tonga,1974,91.22,Access to Electricity,red,95.0
Tuvalu,1974,97.7,Access to Electricity,green,95.0
Vanuatu,1974,36.47,Access to Electricity,red,95.0
Fiji,1975,90.15,Access to Electricity,red,95.0
French Polynesia,1975,100.0,Access to Electricity,green,95.0
Guam,1975,100.0,Access to Electricity,green,95.0
Kiribati,1975,90.56,Access to Electricity,red,95.0
Marshall Islands,1975,91.82,Access to Electricity,red,95.0
Micronesia (Federated States of),1975,73.94,Access to Electricity,red,95.0
Nauru,1975,99.28,Access to Electricity,green,95.0
New Caledonia,1975,100.0,Access to Electricity,green,95.0
Northern Mariana Islands,1975,99.88,Access to Electricity,green,95.0
Palau,1975,98.92,Access to Electricity,green,95.0
Papua New Guinea,1975,32.92,Access to Electricity,red,95.0
Samoa,1975,96.37,Access to Electricity,green,95.0
Solomon Islands,1975,50.31,Access to Electricity,red,95.0
Tonga,1975,91.94,Access to Electricity,red,95.0
Tuvalu,1975,98.01,Access to Electricity,green,95.0
Vanuatu,1975,33.29,Access to Electricity,red,95.0
Fiji,1976,91.07,Access to Electricity,red,95.0
French Polynesia,1976,100.0,Access to Electricity,green,95.0
Guam,1976,100.0,Access to Electricity,green,95.0
Kiribati,1976,92.8,Access to Electricity,red,95.0
Marshall Islands,1976,92.53,Access to Electricity,red,95.0
Micronesia (Federated States of),1976,75.96,Access to Electricity,red,95.0
Nauru,1976,99.24,Access to Electricity,green,95.0
New Caledonia,1976,100.0,Access to Electricity,green,95.0
Northern Mariana Islands,1976,99.83,Access to Electricity,green,95.0
Palau,1976,98.46,Access to Electricity,green,95.0
Papua New Guinea,1976,35.28,Access to Electricity,red,95.0
Samoa,1976,92.87,Access to Electricity,red,95.0
Solomon Islands,1976,55.1,Access to Electricity,red,95.0
Tonga,1976,92.68,Access to Electricity,red,95.0
Tuvalu,1976,97.3,Access to Electricity,green,95.0
Vanuatu,1976,44.1,Access to Electricity,red,95.0
Fiji,1977,91.75,Access to Electricity,red,95.0
French Polynesia,1977,100.0,Access to Electricity,green,95.0
Guam,1977,100.0,Access to Electricity,green,95.0
Kiribati,1977,86.18,Access to Electricity,red,95.0
Marshall Islands,1977,93.37,Access to Electricity,red,95.0
Micronesia (Federated States of),1977,77.94,Access to Electricity,red,95.0
Nauru,1977,99.8,Access to Electricity,green,95.0
New Caledonia,1977,100.0,Access to Electricity,green,95.0
Northern Mariana Islands,1977,100.0,Access to Electricity,green,95.0
Palau,1977,98.51,Access to Electricity,green,95.0
Papua New Guinea,1977,37.65,Access to Electricity,red,95.0
Samoa,1977,98.1,Access to Electricity,green,95.0
Solomon Islands,1977,58.33,Access to Electricity,red,95.0
Tonga,1977,92.18,Access to Electricity,red,95.0
Tuvalu,1977,98.85,Access to Electricity,green,95.0
Vanuatu,1977,41.94,Access to Electricity,red,95.0
Fiji,1978,93.79,Access to Electricity,red,95.0
French Polynesia,1978,100.0,Access to Electricity,green,95.0
Guam,1978,100.0,Access to Electricity,green,95.0
Kiribati,1978,88.1,Access to Electricity,red,95.0
Marshall Islands,1978,94.3,Access to Electricity,red,95.0
Micronesia (Federated States of),1978,79.7,Access to Electricity,red,95.0
Nauru,1978,99.19,Access to Electricity,green,95.0
New Caledonia,1978,100.0,Access to Electricity,green,95.0
Northern Mariana Islands,1978,100.0,Access to Electricity,green,95.0
Palau,1978,98.57,Access to Electricity,green,95.0
Papua New Guinea,1978,40.05,Access to Electricity,red,95.0
Samoa,1978,97.9,Access to Electricity,green,95.0
Solomon Islands,1978,62.9,Access to Electricity,red,95.0
Tonga,1978,92.8,Access to Electricity,red,95.0
Tuvalu,1978,99.07,Access to Electricity,green,95.0
Vanuatu,1978,43.79,Access to Electricity,red,95.0
Fiji,1979,95.17,Access to Electricity,green,95.0
French Polynesia,1979,100.0,Access to Electricity,green,95.0
Guam,1979,100.0,Access to Electricity,green,95.0
Kiribati,1979,90.03,Access to Electricity,red,95.0
Marshall Islands,1979,95.92,Access to Electricity,green,95.0
Micronesia (Federated States of),1979,81.28,Access to Electricity,red,95.0
Nauru,1979,99.17,Access to Electricity,green,95.0
New Caledonia,1979,100.0,Access to Electricity,green,95.0
Northern Mariana Islands,1979,100.0,Access to Electricity,green,95.0
Palau,1979,98.63,Access to Electricity,green,95.0
Papua New Guinea,1979,42.88,Access to Electricity,red,95.0
Samoa,1979,96.36,Access to Electricity,green,95.0
Solomon Islands,1979,66.18,Access to Electricity,red,95.0
Tonga,1979,94.98,Access to Electricity,red,95.0
Tuvalu,1979,99.7,Access to Electricity,green,95.0
Vanuatu,1979,31.7,Access to Electricity,red,95.0
Fiji,1980,96.56,Access to Electricity,green,95.0
French Polynesia,1980,100.0,Access to Electricity,green,95.0
Guam,1980,100.0,Access to Electricity,green,95.0
Kiribati,1980,91.96,Access to Electricity,red,95.0
Marshall Islands,1980,97.54,Access to Electricity,green,95.0
Micronesia (Federated States of),1980,82.93,Access to Electricity,red,95.0
Nauru,1980,99.17,Access to Electricity,green,95.0
New Caledonia,1980,100.0,Access to Electricity,green,95.0
Northern Mariana Islands,1980,100.0,Access to Electricity,green,95.0
Palau,1980,98.71,Access to Electricity,green,95.0
Papua New Guinea,1980,49.4,Access to Electricity,red,95.0
Samoa,1980,96.67,Access to Electricity,green,95.0
Solomon Islands,1980,69.81,Access to Electricity,red,95.0
Tonga,1980,95.79,Access to Electricity,green,95.0
Tuvalu,1980,99.69,Access to Electricity,green,95.0
Vanuatu,1980,49.06,Access to Electricity,red,95.0
Fiji,1981,96.0,Access to Electricity,green,95.0
French Polynesia,1981,100.0,Access to Electricity,green,95.0
Guam,1981,100.0,Access to Electricity,green,95.0
Kiribati,1981,,Access to Electricity,gray,95.0
Marshall Islands,1981,99.16,Access to Electricity,green,95.0
Micronesia (Federated States of),1981,,Access to Electricity,gray,95.0
Nauru,1981,99.0,Access to Electricity,green,95.0
New Caledonia,1981,100.0,Access to Electricity,green,95.0
Northern Mariana Islands,1981,100.0,Access to Electricity,green,95.0
Palau,1981,98.81,Access to Electricity,green,95.0
Papua New Guinea,1981,54.4,Access to Electricity,red,95.0
Samoa,1981,96.83,Access to Electricity,green,95.0
Solomon Islands,1981,73.35,Access to Electricity,red,95.0
Tonga,1981,100.0,Access to Electricity,green,95.0
Tuvalu,1981,,Access to Electricity,gray,95.0
Vanuatu,1981,52.21,Access to Electricity,red,95.0
Fiji,1982,99.37,Access to Electricity,green,95.0
French Polynesia,1982,100.0,Access to Electricity,green,95.0
Guam,1982,100.0,Access to Electricity,green,95.0
Kiribati,1982,,Access to Electricity,gray,95.0
Marshall Islands,1982,,Access to Electricity,gray,95.0
Micronesia (Federated States of),1982,,Access to Electricity,gray,95.0
Nauru,1982,99.22,Access to Electricity,green,95.0
New Caledonia,1982,100.0,Access to Electricity,green,95.0
Northern Mariana Islands,1982,100.0,Access to Electricity,green,95.0
Palau,1982,97.63,Access to Electricity,green,95.0
Papua New Guinea,1982,55.73,Access to Electricity,red,95.0
Samoa,1982,97.42,Access to Electricity,green,95.0
Solomon Islands,1982,,Access to Electricity,gray,95.0
Tonga,1982,97.02,Access to Electricity,green,95.0
Tuvalu,1982,,Access to Electricity,gray,95.0
Vanuatu,1982,57.82,Access to Electricity,red,95.0
Fiji,1983,99.72,Access to Electricity,green,95.0
French Polynesia,1983,100.0,Access to Electricity,green,95.0
